Time,Data
0.601,-0.11155467487338397
0.602,-0.12034201787215884
0.603,-0.13731369305041227
0.604,-0.1445400759289824
0.605,-0.13419770803555506
0.606,-0.11877636461163518
0.607,-0.1193264084879808
0.608,-0.1262083814963737
0.609,-0.13750779450498213
0.61,-0.13200458842731871
0.611,-0.11834657104297308
0.612,-0.11429109577772278
0.613,-0.12217025356991892
0.614,-0.13177094781881082
0.615,-0.12487119261794231
0.616,-0.11625925918958883
0.617,-0.12219003416694339
0.618,-0.13172646700234264
0.619,-0.12904036581375394
0.62,-0.11855158300063895
0.621,-0.12312146812998492
0.622,-0.1380224929688879
0.623,-0.1458988692531599
0.624,-0.13772249556027555
0.625,-0.12402059148429653
0.626,-0.12061874637308662
0.627,-0.12709061966627358
0.628,-0.14294328062767814
0.629,-0.14894063803751464
0.63,-0.1296465081538786
0.631,-0.10717223730047251
0.632,-0.10598115948163422
0.633,-0.12338066439227219
0.634,-0.13858459255860325
0.635,-0.1305441765522237
0.636,-0.10082677682757211
0.637,-0.09059509334884722
0.638,-0.1070841017373166
0.639,-0.1246221782651478
0.64,-0.12384966374799551
0.641,-0.09990431662785469
0.642,-0.0772953421812329
0.643,-0.08310209282192453
0.644,-0.10949928282013044
0.645,-0.1246401513588929
0.646,-0.11092156266124781
0.647,-0.07975180029113696
0.648,-0.07000863281791926
0.649,-0.09639343635875697
0.65,-0.12639503527976412
0.651,-0.12870884943230046
0.652,-0.1058415008922696
0.653,-0.08477932672419172
0.654,-0.08887388763946436
0.655,-0.11841006538456691
0.656,-0.1413312985973641
0.657,-0.13691249384660126
0.658,-0.1127563071312289
0.659,-0.0962799692190949
0.66,-0.11401242841245271
0.661,-0.143947180642206
0.662,-0.14678737626418364
0.663,-0.12139880175638458
0.664,-0.10187765201986992
0.665,-0.11268897733182792
0.666,-0.1308329524212991
0.667,-0.13277822767929573
0.668,-0.12035553930470223
0.669,-0.10811380738555791
0.67,-0.1046275800220274
0.671,-0.1148800807766505
0.672,-0.12230364635169086
0.673,-0.10777764993786716
0.674,-0.08873574310254194
0.675,-0.08888693608853232
0.676,-0.09683924533260047
0.677,-0.09895286902297672
0.678,-0.08786653573935305
0.679,-0.07278103714587314
0.68,-0.07341871907983326
0.681,-0.08342775761757024
0.682,-0.0832606717962754
0.683,-0.07437756719336988
0.684,-0.06251593957073978
0.685,-0.06373020055098017
0.686,-0.07484323521861203
0.687,-0.07900055449622512
0.688,-0.07014081958235566
0.689,-0.05418136406445624
0.69,-0.047050897108356415
0.691,-0.05957893661809694
0.692,-0.07409236839400538
0.693,-0.06682305811183119
0.694,-0.04522696294148659
0.695,-0.03667085376758059
0.696,-0.05122357348820324
0.697,-0.07597872391109504
0.698,-0.07961559548248506
0.699,-0.04861115674103003
0.7,-0.023298350567393027
0.701,-0.033329627282351525
0.702,-0.06339254426985362
0.703,-0.08174742863756237
0.704,-0.0679064204327543
0.705,-0.034234284785269485
0.706,-0.018513480698700915
0.707,-0.04067432336496304
0.708,-0.07918897866860389
0.709,-0.09498392943752679
0.71,-0.07127099838499708
0.711,-0.043206209446471806
0.712,-0.05103997810311375
0.713,-0.09390136159414629
0.714,-0.12134958797471046
0.715,-0.10759346200203404
0.716,-0.07785590046323673
0.717,-0.07370970249805382
0.718,-0.09578083247976907
0.719,-0.11595366216493086
0.72,-0.12257685279883611
0.721,-0.12000090145846448
0.722,-0.10853994145613104
0.723,-0.10256433104693409
0.724,-0.11333748873188151
0.725,-0.12835415019177634
0.726,-0.1360440906484714
0.727,-0.12834325714342865
0.728,-0.11932206050415896
0.729,-0.11875558452293836
0.73,-0.12439253297165433
0.731,-0.12653734730970848
0.732,-0.12135637931227393
0.733,-0.11559769364396012
0.734,-0.1101869417745536
0.735,-0.10487122638282705
0.736,-0.10271467900311282
0.737,-0.10694028003713325
0.738,-0.10883357661689852
0.739,-0.10075213039003136
0.74,-0.0941939831763203
0.741,-0.09852861881699435
0.742,-0.10956553657818405
0.743,-0.1217805639225574
0.744,-0.11903366300898593
0.745,-0.10527638955620433
0.746,-0.09613213989972726
0.747,-0.10324020784964201
0.748,-0.12523651148787174
